year,Gini coefficient - Equivalised disposable household income,Share of top 1% - Pre-tax national income (equal-split adults),Share of top 1% - Post-tax national income (equal-split adults),Share below 50% median - Equivalised disposable household income,Share below 60% median - Equivalised disposable household income,Gini coefficient - Employment earnings
1980,NA,7.5,NA,NA,NA,NA
1981,NA,7.5,NA,NA,NA,NA
1982,NA,7.5,NA,NA,NA,NA
1983,NA,7.5,NA,NA,NA,NA
1984,NA,7.5,NA,NA,NA,NA
1985,NA,7.5,NA,NA,NA,NA
1986,NA,7.5,NA,NA,NA,39.8
1987,NA,7.5,NA,NA,NA,40
1988,NA,7.5,NA,9.5,NA,40.2
1989,NA,7.5,NA,8,NA,42
1990,NA,7.5,6.2,NA,NA,42.5
1991,NA,7.42,6.17,9,NA,42.5
1992,NA,7.63,6.42,9.6,NA,42.5
1993,NA,7.53,6.27,10.5,NA,43
1994,NA,7.53,6.28,NA,NA,43.5
1995,NA,7.53,6.22,12.5,NA,NA
1996,NA,7.55,6.3,NA,NA,NA
1997,NA,7.67,6.46,NA,NA,NA
1998,NA,7.75,6.54,NA,NA,NA
1999,NA,8.01,6.79,NA,NA,NA
2000,NA,8.28,7,NA,NA,NA
2001,NA,10.13,8.95,NA,NA,NA
2002,NA,10.89,9.66,NA,NA,NA
2003,24.1,10.85,9.2,NA,10,NA
2004,25.1,9.16,7.47,NA,9.7,NA
2005,26.3,10.18,8.75,NA,9.6,NA
2006,28,10.61,9.78,NA,10.1,NA
2007,27.3,14.58,13.1,NA,10.1,NA
2008,29.6,7.87,6.87,NA,10.2,NA
2009,25.7,6.63,5.62,NA,9.8,NA
2010,23.6,5.55,4.33,NA,9.2,NA
2011,24,5.83,4.4,NA,7.9,NA
2012,24,6.3,4.74,NA,9.3,NA
2013,22.7,8.25,6.92,NA,7.9,NA
2014,24.7,8.4,6.68,NA,9.2,NA
2015,24.1,8.29,6.54,NA,8.8,NA
2016,25.2,8.37,6.67,NA,10.1,NA
2017,23.2,8.79,7,NA,8.8,NA
2018,NA,8.78,6.98,NA,NA,NA
2019,NA,8.78,6.97,NA,NA,NA
2020,NA,8.78,6.86,NA,NA,NA
