year,Gini coefficient - Equivalised disposable household income,Gini coefficient - Income (tax units),Share below 60% median,Wealth Inequality,Top Income Shares
2010,33.71587,NA,15.92449047,NA,12.15
2011,34.00962,NA,15.75767364,NA,13.02
2012,33.63875,NA,15.43336331,19.88,12.63
2013,34.25986,NA,15.2656601,NA,13.69
2014,33.94323,NA,15.9083579,NA,13.23
2015,34.68564,NA,16.31999248,NA,12.25
2016,33.65,NA,16.22156218,NA,12.41
2017,34.20763,NA,17.16024766,NA,13.3
2018,35.04541,NA,NA,NA,12.96
2019,35.17274,NA,NA,NA,12.6
2020,NA,NA,NA,NA,12.65
2021,NA,NA,NA,NA,12.65
