year,Gini coefficient - Household per capita monthly earnings  (employed population),Gini coefficient - Household per capita monthly earnings,Gini coefficient - Household per capita disposable earnings (employed population),Share of top 1% - Pre-tax national income (equal-split adults),"Share of top 1% - Pre-tax fiscal income (individuals, excluding capital gains)",Bottom quintile as % median - Gross monthly individual earnings (employed population)
1947.0,NA,NA,NA,10.8,10.9,NA
1948.0,NA,NA,NA,10.8,10.9,NA
1949.0,NA,NA,NA,10.3,10.4,NA
1950.0,NA,NA,NA,12.6,12.7,NA
1951.0,NA,NA,NA,14.6,14.8,NA
1952.0,NA,NA,NA,13.7,13.8,NA
1953.0,NA,NA,NA,12.4,12.5,NA
1954.0,NA,NA,NA,12.3,12.4,NA
1956.0,NA,NA,NA,12.3,12.4,NA
1957.0,NA,NA,NA,12.2,12.3,NA
1958.0,NA,NA,NA,11.6,11.7,NA
1959.0,NA,NA,NA,12.9,13.1,NA
1960.0,NA,NA,NA,10.9,11.0,NA
1961.0,NA,NA,NA,11.1,11.2,NA
1962.0,NA,NA,NA,11.0,11.1,NA
1963.0,NA,NA,NA,10.8,10.9,NA
1964.0,NA,NA,NA,12.5,12.6,NA
1965.0,NA,NA,NA,10.8,10.9,NA
1966.0,50.0,NA,NA,10.3,10.4,NA
1967.0,NA,NA,NA,10.1,10.2,NA
1968.0,NA,NA,NA,10.5,10.6,NA
1969.0,NA,NA,NA,10.4,10.2,NA
1970.0,NA,NA,NA,11.0,10.8,NA
1971.0,NA,NA,NA,10.8,10.6,NA
1972.0,NA,NA,NA,11.0,10.8,NA
1973.0,46.0,NA,NA,11.4,11.2,NA
1974.0,45.0,NA,NA,10.7,10.5,NA
1975.0,45.0,NA,NA,10.8,10.6,NA
1976.0,44.0,NA,NA,10.6,10.4,NA
1977.0,46.0,NA,NA,10.2,10.0,NA
1978.0,42.0,NA,NA,10.5,10.3,NA
1979.0,42.0,NA,NA,11.3,11.2,NA
1980.0,41.0,NA,NA,10.8,10.6,NA
1981.0,44.0,NA,NA,10.8,10.6,NA
1982.0,46.0,NA,NA,11.0,10.8,NA
1983.0,48.0,NA,NA,10.7,10.5,NA
1984.0,47.0,NA,NA,10.4,10.2,NA
1985.0,46.0,NA,NA,10.9,10.7,NA
1986.0,46.0,NA,NA,10.5,10.3,NA
1987.0,47.0,NA,NA,11.6,11.4,NA
1988.0,48.0,NA,NA,10.9,10.7,NA
1989.0,49.0,NA,NA,11.5,11.3,NA
1990.0,NA,43.6,NA,11.4,11.2,NA
1991.0,NA,NA,NA,10.6,10.4,NA
1992.0,NA,NA,NA,10.7,NA,NA
1993.0,NA,NA,NA,10.7,10.5,NA
1994.0,NA,NA,NA,10.2,10.0,NA
1995.0,NA,44.3,NA,10.0,9.8,NA
1996.0,NA,NA,NA,10.2,10.0,58.5
1997.0,NA,44.4,NA,10.5,10.3,57.7
1998.0,NA,44.6,NA,11.3,11.1,58.0
1999.0,NA,46.7,NA,13.0,12.8,58.8
2000.0,NA,49.0,41.4,13.4,13.3,NA
2001.0,NA,49.3,41.9,15.3,15.1,57.9
2002.0,NA,50.5,41.4,15.3,15.1,56.6
2003.0,NA,51.2,42.2,14.4,14.2,55.4
2004.0,NA,51.7,41.9,13.8,13.6,56.1
2005.0,NA,52.2,42.2,13.8,13.6,NA
2006.0,NA,NA,41.8,14.5,14.2,52.5
2007.0,NA,NA,43.9,14.3,14.1,53.3
2008.0,NA,NA,42.4,15.4,15.2,51.4
2009.0,NA,NA,42.2,13.9,13.7,51.2
2010.0,NA,NA,42.5,13.6,13.4,53.3
2011.0,NA,NA,42.3,14.0,13.9,53.3
2012.0,NA,NA,43.2,13.8,13.6,50.0
2013.0,NA,NA,40.9,13.8,13.6,50.9
2014.0,NA,NA,41.1,14.2,14.0,52.3
2015.0,NA,NA,40.9,14.2,NA,50.9
2016.0,NA,NA,40.1,14.2,NA,51.9
2017.0,NA,NA,40.2,14.2,NA,52.0
2018.0,NA,NA,40.3,14.2,NA,52.7
2019.0,NA,NA,39.8,14.2,NA,53.8
2020.0,NA,NA,37.5,NA,NA,51.6
