year,Gini coefficient - Househould income,Share of top 1% - Pre-tax national income (equal-split adults),Share of top 1% - Pre-tax fiscal income (equal-split adults),Share of bottom 40% - Gross household income,Share below absolute poverty line (PLI 2004) - Household income
1951,NA,NA,8.76,NA,NA
1955,NA,NA,1.14,NA,NA
1956,NA,NA,1.48,NA,NA
1957,45.61128713,NA,1.27,NA,NA
1958,NA,NA,1.67,NA,NA
1959,NA,NA,1.64,NA,NA
1960,NA,NA,1.81,NA,NA
1961,NA,NA,11.87,NA,NA
1962,NA,NA,11.7,NA,NA
1963,NA,NA,11.64,NA,NA
1964,NA,NA,12.2,NA,NA
1965,NA,NA,12.99,NA,NA
1966,NA,NA,1.86,NA,NA
1967,50.48893281,NA,1.72,NA,NA
1968,NA,NA,11.7,NA,NA
1969,NA,NA,11.28,NA,NA
1970,51.3,NA,14.81,11.5,49.3
1971,NA,NA,15.14,NA,NA
1972,NA,NA,18.51,NA,NA
1973,NA,NA,17.49,NA,NA
1974,53.0,NA,15.3,11.4,NA
1975,NA,NA,16.3,NA,NA
1976,55.7,NA,NA,10.8,37.7
1979,50.5,NA,NA,11.9,37.4
1980,NA,18.84,NA,NA,NA
1981,NA,18.84,NA,NA,NA
1982,NA,18.84,NA,NA,NA
1983,NA,18.84,12.32,NA,NA
1984,48.3,18.84,11.59,12.7,20.7
1985,NA,18.84,NA,NA,NA
1986,NA,18.84,NA,NA,NA
1987,45.6,18.84,NA,13.7,19.4
1988,NA,18.84,NA,NA,NA
1989,44.2,18.84,1.78,NA,16.5
1990,NA,18.84,NA,14.5,NA
1991,NA,18.84,NA,NA,NA
1992,45.1,18.84,NA,13.9,12.4
1993,NA,18.84,NA,NA,NA
1994,NA,18.84,NA,NA,NA
1995,45.6,18.84,NA,13.7,8.7
1996,NA,18.84,NA,NA,NA
1997,45.9,18.84,12.35,13.2,6.1
1998,NA,18.84,NA,NA,NA
1999,44.3,18.84,NA,14.0,7.5
2000,NA,18.84,NA,NA,NA
2001,NA,18.84,NA,NA,NA
2002,46.1,18.84,12.36,13.5,5.1
2003,NA,17.88,NA,NA,NA
2004,46.2,16.91,11.91,13.2,5.7
2005,NA,17.32,NA,NA,NA
2006,NA,17.72,NA,NA,NA
2007,44.1,18.13,16.4,14.6,3.6
2008,NA,18.09,NA,NA,NA
2009,44.1,18.05,13.85,14.3,3.8
2010,NA,17.52,NA,NA,NA
2011,NA,16.99,NA,NA,NA
2012,43.1,16.46,13.58,14.8,1.7
2013,NA,15.66,NA,NA,NA
2014,40.1,14.87,13.47,16.8,0.6
2015,NA,14.87,NA,NA,NA
2016,39.9,14.87,NA,NA,0.4
2017,NA,14.87,NA,NA,NA
2018,NA,14.87,NA,NA,NA
2019,40.7,14.87,NA,16.0,0.2
2020,NA,14.87,NA,NA,NA
