year,Overall Income Inequality - Equivalised disposable household income,Poverty - Equivalised disposable household income,Top Income Shares - Pre-tax national income (equal-split adults),Wealth Inequality - Individual net wealth
1966,31.1,18.6,17.24,NA
1971,27,15.2,13.39,NA
1976,21.5,11.5,8.19,NA
1981,20.9,12.1,5.45,NA
1986,20.4,9.2,5.3,NA
1987,20.2,9.6,6.51,16.06279
1988,20.7,10,6.72,NA
1989,21,10.9,5.73,15.78018
1990,20.8,10.5,4.5,15.33996
1991,20.7,9.8,3.89,15.215
1992,20.5,8.8,3.73,15.34319
1993,20.9,7.2,4.82,13.66502
1994,20.8,7.4,7.13,13.8846
1995,21.4,7.6,8.94,13.8846
1996,21.9,8.5,9.09,15.09584
1997,23,8.5,10.6,16.20453
1998,23.8,9.6,11.57,17.2632
1999,24.5,9.5,12.54,21.15901
2000,24.9,10.5,13.47,21.22974
2001,25.7,11.6,12.88,20.55956
2002,25.2,11.3,12.54,19.61936
2003,25.6,11.1,11.8,20.41022
2004,26.1,11.9,12.95,20.73063
2005,25.9,12.7,11.01,21.62522
2006,26.2,13.1,11.81,NA
2007,26.4,13.8,11.55,NA
2008,26,13.9,11.26,NA
2009,25.5,13.2,9.01,22.66974844
2010,25.9,13.7,9.62,NA
2011,25.9,13.2,9.24,NA
2012,25.5,11.9,8.76,NA
2013,25.6,12.8,8.6,NA
2014,25.2,12.5,9.01,NA
2015,25.5,11.7,9.56,NA
2016,25.4,11.5,9.68,NA
2017,26,12.1,10.61,NA
2018,26.3,11.8,10.49,NA
2019,26.6,12.3,10.28,NA
