year,Gini coefficient - Per capita income,"Share of top 1% - Pre-tax fiscal income (tax units, individuals)",Share of top 1% - Pre-tax national income (equal-split adults),"Share below R3,000 (2000 currency value) - Per capita income",Share below upper-bound poverty line - Per capita expenditure,Share of top 1% - Individual net wealth
1914,NA,NA,21.96,NA,NA,NA
1915,NA,NA,21.88,NA,NA,NA
1916,NA,NA,21.99,NA,NA,NA
1917,NA,NA,22.82,NA,NA,NA
1918,NA,NA,21.03,NA,NA,NA
1919,NA,NA,19.04,NA,NA,NA
1920,NA,NA,20.25,NA,NA,NA
1921,NA,NA,21.75,NA,NA,NA
1922,NA,NA,19.16,NA,NA,NA
1923,NA,NA,19.47,NA,NA,NA
1924,NA,NA,19.9,NA,NA,NA
1925,NA,NA,20.55,NA,NA,NA
1926,NA,NA,20.13,NA,NA,NA
1927,NA,NA,19.93,NA,NA,NA
1928,NA,NA,20.02,NA,NA,NA
1929,NA,NA,20.08,NA,NA,NA
1930,NA,NA,20.47,NA,NA,NA
1931,NA,NA,20.28,NA,NA,NA
1932,NA,NA,19.71,NA,NA,NA
1933,NA,NA,19.39,NA,NA,NA
1934,NA,NA,18.48,NA,NA,NA
1935,NA,NA,18.81,NA,NA,NA
1936,NA,NA,18.43,NA,NA,NA
1937,NA,NA,17.71,NA,NA,NA
1938,NA,NA,17.04,NA,NA,NA
1939,NA,NA,15.97,NA,NA,NA
1944,NA,NA,18.18,NA,NA,NA
1945,NA,NA,20.37,NA,NA,NA
1946,NA,NA,23.54,NA,NA,NA
1947,NA,NA,21.22,NA,NA,NA
1948,NA,NA,22.02,NA,NA,NA
1949,NA,NA,17.68,NA,NA,NA
1954,NA,NA,14.12,NA,NA,NA
1955,NA,NA,14.38,NA,NA,NA
1956,NA,NA,13.88,NA,NA,NA
1957,NA,NA,13.51,NA,NA,NA
1958,NA,NA,12.89,NA,NA,NA
1959,NA,NA,12.55,NA,NA,NA
1961,NA,NA,11.75,NA,NA,NA
1963,NA,NA,13.16,NA,NA,NA
1964,NA,NA,13.63,NA,NA,NA
1965,NA,NA,13.22,NA,NA,NA
1967,NA,NA,12.6,NA,NA,NA
1969,NA,NA,13.34,NA,NA,NA
1970,NA,NA,NA,52.92879581,NA,NA
1971,NA,NA,12.86,NA,NA,NA
1974,NA,NA,12.9,NA,NA,NA
1975,NA,NA,12.14,46.44554974,NA,NA
1978,NA,NA,10.32,NA,NA,NA
1979,NA,NA,9.9,NA,NA,NA
1980,NA,NA,10.86,41.34397906,NA,NA
1981,NA,NA,11.31,NA,NA,NA
1982,NA,NA,11.96,NA,NA,NA
1983,NA,NA,11.3,NA,NA,NA
1984,NA,NA,11.26,NA,NA,NA
1985,NA,NA,10.61,41.23769634,NA,NA
1986,NA,NA,10.32,NA,NA,NA
1987,NA,NA,8.75,NA,NA,NA
1988,NA,NA,9.85,NA,NA,NA
1989,NA,NA,10.12,NA,NA,NA
1990,NA,9.85,10.12,37.51780105,NA,NA
1991,NA,10.54,10.79,NA,NA,NA
1992,NA,10.56,10.83,NA,NA,NA
1993,67.0,10.27,10.56,40.6,NA,48.62
1994,NA,NA,11.27,NA,NA,49.72
1995,NA,NA,11.99,NA,NA,47.41
1996,NA,NA,12.7,NA,NA,48.95
1997,NA,NA,13.39,NA,NA,48.37
1998,NA,NA,14.07,NA,NA,47.98
1999,NA,NA,14.76,NA,NA,50.77
2000,67.0,NA,15.44,41.3,NA,49.51
2001,NA,NA,16.17,NA,NA,50.77
2002,NA,16.61,16.9,NA,NA,49.87
2003,NA,16.92,17.23,NA,NA,50.1
2004,NA,17.08,17.43,33.2,NA,49.15
2005,72.0,17.97,18.34,NA,NA,51.41
2006,72.0,19.0,19.34,NA,66.6,52.28
2007,NA,20.06,20.33,NA,NA,52.08
2008,NA,19.46,19.76,NA,NA,50.25
2009,70.0,18.28,18.58,NA,62.1,53.16
2010,NA,18.54,18.77,NA,NA,57.29
2011,69.0,18.46,18.65,NA,53.2,58.39
2012,NA,19.21,19.32,NA,NA,57.24
2013,NA,NA,19.31,NA,NA,57.0
2014,NA,NA,19.31,NA,NA,55.88
2015,67.0,NA,19.31,NA,55.5,55.8
2016,NA,NA,19.31,NA,NA,54.47
2017,NA,NA,19.31,NA,NA,55.58
2018,NA,NA,19.31,NA,NA,55.13
2019,NA,NA,19.31,NA,NA,54.98
2020,NA,NA,21.93,NA,NA,54.83
2021,NA,NA,NA,NA,NA,55.03
