year,Top decile as % median - Gross individual earnings
1954,162.4
1955,163.0
1956,161.8
1957,163.3
1958,164.6
1959,168.1
1960,168.7
1961,168.1
1962,167.9
1963,166.0
1964,172.3
1965,175.9
1966,174.4
1967,173.3
1968,173.0
1970,173.8
1971,171.9
1972,171.7
1973,169.6
1974,165.8
1975,166.1
1976,167.0
1977,165.5
1978,165.4
1979,166.7
1980,169.2
1981,174.3
1982,174.9
1983,175.4
1984,177.0
1985,177.7
1986,178.2
1987,180.8
1988,182.4
1989,182.1
1990,185.0
1991,184.6
1992,184.7
1993,185.9
1994,185.7
1995,186.8
1996,188.5
1997,186.4
1998,188.9
1999,190.2
2000,190.0
2001,193.5
2002,195.5
2003,195.6
2004,194.7
2005,197.7
2006,199.0
2007,198.5
2008,198.7
2009,199.1
2010,198.1
2011,200.4
2012,198.0
2013,197.1
2014,197.8
2015,196.3
2016,196.6
2017,198.5
2018,198.2
2019,197.0
2020,199.5
