year,Gini coefficient - Equivalised disposable household income,Gini coefficient - Gross househould income,Share of top 1% - Pre-tax national income (equal-split adults),Share of top 1% - Pre-tax fiscal income (individuals) (excluding capital gains),Share below 60% median - Equivalised disposable household income,Gini coefficient - Net wealth,Share of top 1% - Net household financial wealth
1900,NA,NA,20.8,16.3,NA,NA,NA
1901,NA,NA,21.6,16.9,NA,NA,NA
1902,NA,NA,23.0,18.0,NA,NA,NA
1903,NA,NA,22.4,17.6,NA,NA,NA
1904,NA,NA,21.2,16.6,NA,NA,NA
1905,NA,NA,23.1,18.1,NA,NA,NA
1906,NA,NA,23.1,18.1,NA,NA,NA
1907,NA,NA,23.3,18.3,NA,NA,NA
1908,NA,NA,24.2,18.9,NA,NA,NA
1909,NA,NA,23.9,18.7,NA,NA,NA
1910,NA,NA,24.1,18.9,NA,NA,NA
1911,NA,NA,23.0,18.0,NA,NA,NA
1912,NA,NA,22.9,17.9,NA,NA,NA
1913,NA,NA,22.3,17.5,NA,NA,NA
1914,NA,NA,23.7,18.6,NA,NA,NA
1915,NA,NA,25.0,19.6,NA,NA,NA
1916,NA,NA,24.9,19.5,NA,NA,NA
1917,NA,NA,23.9,18.7,NA,NA,NA
1918,NA,NA,21.2,16.6,NA,NA,NA
1919,NA,NA,19.5,15.3,NA,NA,NA
1920,NA,NA,21.8,17.1,NA,NA,NA
1921,NA,NA,23.6,18.5,NA,NA,NA
1922,NA,NA,25.0,19.6,NA,NA,NA
1923,NA,50.5,25.2,19.7,NA,NA,NA
1924,NA,NA,25.2,19.7,NA,NA,NA
1925,NA,NA,23.4,18.3,NA,NA,NA
1926,NA,NA,23.7,18.6,NA,NA,NA
1927,NA,NA,22.8,17.9,NA,NA,NA
1928,NA,NA,23.6,18.5,NA,NA,NA
1929,NA,NA,23.4,18.4,NA,NA,NA
1930,NA,51.2,21.4,16.8,NA,NA,NA
1931,NA,NA,22.2,17.4,NA,NA,NA
1932,NA,NA,22.4,17.6,NA,NA,NA
1933,NA,NA,23.3,18.3,NA,NA,NA
1934,NA,NA,24.2,19.0,NA,NA,NA
1935,NA,NA,23.9,18.7,NA,NA,NA
1936,NA,NA,23.8,18.7,NA,NA,NA
1937,NA,54.7,24.6,19.3,NA,NA,NA
1938,NA,NA,25.4,19.9,NA,NA,NA
1939,NA,NA,22.9,18.0,NA,NA,NA
1940,NA,NA,21.0,16.5,NA,NA,NA
1941,NA,NA,21.3,16.7,NA,NA,NA
1942,NA,NA,19.3,15.1,NA,NA,NA
1943,NA,NA,17.4,13.6,NA,NA,NA
1944,NA,NA,13.7,10.7,NA,NA,NA
1945,NA,NA,8.2,6.4,NA,NA,NA
1947,NA,NA,9.4,7.4,NA,NA,NA
1948,NA,NA,10.0,7.8,NA,NA,NA
1949,NA,NA,10.1,7.9,NA,NA,NA
1950,NA,NA,9.8,7.7,NA,NA,NA
1951,NA,NA,10.3,8.1,NA,NA,NA
1952,NA,NA,11.1,8.7,NA,NA,NA
1953,NA,NA,10.5,8.2,NA,NA,NA
1954,NA,NA,10.2,8.0,NA,NA,NA
1955,NA,NA,9.8,7.7,NA,NA,NA
1956,NA,NA,10.5,8.2,NA,NA,NA
1957,NA,NA,10.9,8.6,NA,NA,NA
1958,NA,NA,11.1,8.7,NA,NA,NA
1959,NA,NA,11.6,9.1,NA,NA,NA
1960,NA,NA,12.1,9.5,NA,NA,NA
1961,24.7,NA,12.6,9.9,NA,NA,NA
1962,NA,NA,12.8,10.0,NA,NA,NA
1963,NA,NA,11.5,9.0,NA,NA,NA
1964,NA,NA,11.2,8.8,NA,NA,NA
1965,NA,NA,10.5,8.3,NA,NA,NA
1966,NA,NA,10.3,8.0,NA,NA,NA
1967,23.6,NA,10.4,8.1,NA,NA,NA
1968,NA,NA,10.2,8.0,NA,NA,NA
1969,NA,NA,12.8,10.0,NA,NA,NA
1970,NA,NA,13.7,10.7,NA,NA,NA
1971,NA,NA,16.6,13.0,NA,NA,NA
1972,22.6,NA,15.5,12.2,NA,NA,NA
1973,NA,NA,17.6,13.8,NA,NA,NA
1974,NA,NA,10.7,8.4,NA,NA,NA
1975,24.8,NA,11.5,9.0,NA,NA,NA
1976,NA,NA,9.6,7.5,NA,NA,NA
1977,NA,NA,9.8,7.6,NA,NA,NA
1978,24.3,NA,10.1,7.9,NA,NA,NA
1979,NA,NA,10.7,8.4,NA,NA,NA
1980,NA,NA,10.9,8.4,NA,NA,NA
1981,22.6,NA,10.5,8.3,NA,NA,NA
1982,22.1,NA,10.5,8.2,NA,NA,NA
1983,22.2,NA,10.4,8.2,NA,66.8,NA
1984,22.2,NA,10.6,8.3,NA,66.8,10.3
1985,23.1,NA,10.9,8.4,18.0,66.8,NA
1986,23.1,NA,11.4,8.9,NA,67.2,NA
1987,23.2,NA,12.8,10.3,NA,70.4,NA
1988,23.9,NA,13.1,10.6,NA,73.4,NA
1989,24.0,NA,14.1,11.9,NA,72.6,13.8
1990,24.0,NA,14.8,13.0,NA,72.3,NA
1991,24.3,NA,13.9,12.1,NA,NA,NA
1992,24.1,NA,10.1,8.4,NA,NA,NA
1993,23.6,NA,10.3,8.6,NA,NA,NA
1994,24.2,NA,10.2,8.6,NA,NA,10.1
1995,24.4,NA,10.6,8.7,19.8,NA,NA
1996,24.2,NA,11.3,8.9,NA,NA,NA
1997,24.0,NA,10.7,8.4,NA,NA,NA
1998,24.4,NA,10.6,8.5,NA,NA,NA
1999,23.8,NA,10.8,8.7,NA,NA,9.6
2000,24.6,NA,11.5,9.1,21.4,NA,NA
2001,24.8,NA,11.8,9.4,NA,NA,NA
2002,25.5,NA,12.1,9.5,NA,NA,NA
2003,25.2,NA,12.6,9.8,20.8,NA,NA
2004,25.2,NA,13.4,10.5,NA,NA,9.3
2005,25.9,NA,13.8,11.0,NA,NA,NA
2006,24.8,NA,14.0,11.3,21.7,NA,NA
2007,25.4,NA,14.0,11.4,NA,NA,NA
2008,25.4,NA,13.2,10.9,NA,NA,NA
2009,NA,NA,12.5,10.4,22.1,NA,9.5
2010,NA,NA,13.1,10.4,NA,NA,NA
2011,NA,NA,12.9,NA,NA,NA,NA
2012,NA,NA,13.0,NA,21.9,NA,NA
2013,NA,NA,13.2,NA,NA,NA,NA
2014,NA,NA,13.1,NA,NA,NA,10.2
2015,NA,NA,13.2,NA,21.7,NA,NA
2016,NA,NA,13.2,NA,NA,NA,NA
2017,NA,NA,13.1,NA,NA,NA,NA
2018,NA,NA,13.1,NA,21.2,NA,NA
2019,NA,NA,13.1,NA,NA,NA,NA
