year,Overall Income Inequality - Equivalised disposable household income,Poverty - Equivalised disposable household income,Top Income Shares - Pre-tax national income (equal-split adults),Wealth Inequality - Individual net wealth
1959,32.59968039,NA,10.21,NA
1970,28.68771874,NA,8.45,31
1977,25.73201439,NA,5.88,NA
1981,25.93705036,NA,5.8,NA
1985,25.83453237,NA,5.99,NA
1989,26.85971223,NA,5.95,NA
1990,28.39748201,NA,5.77,NA
1991,28.39748201,NA,5.74,NA
1992,28.19244604,NA,5.64,NA
1993,28.29496403,NA,5.5,20
1994,28.08992806,NA,5.65,19.9
1995,27.88489209,11,5.9,19.1
1996,28.29496403,12,5.93,19.5
1997,27.98741007,10,6.07,19.2
1998,28.19244604,10,5.94,19.8
1999,28.39748201,11,6.03,19.4
2000,28.5,11,6.22,19.2
2001,27.8,11,6.95,NA
2002,27.9,11,6.82,NA
2003,27.8,NA,6.77,NA
2004,28.1,NA,7.01,NA
2005,28.1,10.7,7.18,NA
2006,27.6,9.7,7.09,19.1
2007,29,10.2,7.87,18.9
2008,28.2,10.5,6.76,18.7
2009,28.1,11.1,6.56,18.5
2010,27.9,10.3,6.73,19.7
2011,27.8,11,6.59,19.9
2012,28,10.1,6.57,NA
2013,28.2,10.4,6.36,NA
2014,29.2,11.6,6.87,NA
2015,27.84635762,11.6,6.88,NA
2016,27.94304636,12.7,6.9,NA
2017,28.61986755,13.2,7.06,NA
2018,28.0397351,13.3,6.99,NA
2019,28.23311258,13.2,6.91,NA
