year,Overall Income Inequality - Income per capita,Poverty - Equivalised disposable household income,Top Income Shares - Pre-tax national income (equal-split adults),Wealth Inequality - Total equivalised net wealth
1901,48.5,NA,NA,NA
1911,46,NA,NA,NA
1921,45.1,NA,NA,NA
1931,44.9,NA,NA,NA
1948,41.6,NA,NA,NA
1967,39.1,NA,NA,NA
1968,40.8,NA,NA,NA
1969,39.7,NA,NA,NA
1970,38.3,NA,NA,NA
1971,39.7,NA,NA,NA
1972,38.5,NA,NA,NA
1973,40,NA,NA,NA
1974,39.1,NA,5.49,NA
1975,35.2,NA,5.33,NA
1977,34.9,17.3,5,NA
1978,33.3,17.7,4.94,NA
1979,34.6,18,5.02,NA
1980,32.5,16.4,5.15,NA
1981,31.9,15.4,4.69,NA
1982,29.5,14.7,4.56,NA
1983,30.1,15.7,4.52,NA
1984,31.9,15.9,4.76,NA
1986,31,16.5,5.76,NA
1987,32.2,18.5,5.88,NA
1989,29.6,15.2,6.3,10.98
1991,29.3,16.4,6.29,9.66
1993,32.7,20.1,6.58,12.57
1995,33.2,20.4,7.29,10.98
1998,33.6,20.5,7.91,14.6
2000,33.3,19.6,8.2,14.48
2002,33.3,19.7,8.33,12.62
2004,34.9,20.5,8.19,12.19
2006,33.8,19.6,8.27,15.23
2008,33.3,20.7,7.88,12.89
2010,34.7,21.5,8.03,14.42
2012,35,20.7,8.09,15.68
