year,Overall Income Inequality - Equivalised disposable household income,Poverty - Equivalised disposable household income,Top Income Shares - Pre-tax national income (equal-split adults),Wealth Inequality - Individual net wealth
1956,34.42275465,NA,11.06,31.61
1962,37.29131754,NA,11.05,32.36
1965,35.76922295,NA,11.03,32.22
1970,33.48608106,NA,9.34,20.72
1975,31.63655914,16.22222222,8.42,19.08
1979,29.61505376,13.64575163,8,18.08
1984,29.10967742,12.7869281,8.1,16.32
1990,28.30107527,13.5503268,9.96,17.92
1996,28.2,14.6,9.78,24.26
1997,28.1,14.3,10.32,26.32
1998,27.9,13.9,10.55,27.83
1999,28.6,13.6,10.76,29.27
2000,28.9,13.7,10.96,29.34
2001,28.8,13.5,10.91,28
2002,28.4,13.1,10.57,26.32
2003,28.3,13.1,11.21,25.45
2004,28.3,12.7,11.51,24.86
2005,28.9,13.2,11.28,23.57
2006,29.3,13.3,11.31,23.16
2007,29.2,13.6,11.72,23.49
2008,29.2,13.2,11.31,22.83
2009,29.3,13.6,9.88,22.62
2010,30.2,14.3,10.56,24.51
2011,30.5,14.6,11.15,24.13
2012,30.2,14.2,10.28,23.64
2013,28.8,13.8,10.12,24.4
2014,28.9,14,10.22,25.5
2015,29.2,14.2,10.05,25.74
2016,28.8,14,9.9,25.41
2017,28.9,14.1,9.77,25.57
2018,29.8,14.8,9.66,26.02
2019,28.9,14.6,9.86,26.01
