year,Gini coefficient - Equivalised disposable household income,Share of top 1% - Pre-tax national income (equal-split adult),Share of top 1% - Pre-tax fiscal income (tax units) (excluding capital gains),Share of top 1% - Post-tax national income (equal-split adult),Share below 60% median - Equivalised disposable household income,Share of top 1% - Household net wealth,Gini coefficient - Per capita net wealth
1900,NA,17.2,18.9,NA,NA,NA,NA
1901,NA,16.9,18.6,NA,NA,NA,NA
1902,NA,16.5,18.1,NA,NA,47.2,NA
1903,NA,16.4,18.0,NA,NA,NA,NA
1904,NA,16.5,18.1,NA,NA,NA,NA
1905,NA,16.8,18.5,NA,NA,47.7,NA
1906,NA,16.8,18.5,NA,NA,NA,NA
1907,NA,16.6,18.3,NA,NA,NA,NA
1908,NA,16.2,17.9,NA,NA,48.2,NA
1909,NA,16.0,17.6,NA,NA,NA,NA
1910,NA,16.1,17.8,NA,NA,NA,NA
1911,NA,16.0,17.6,NA,NA,47.2,NA
1912,NA,16.1,17.7,NA,NA,NA,NA
1913,NA,16.7,18.4,NA,NA,45.5,NA
1914,NA,17.0,18.7,NA,NA,NA,NA
1915,NA,18.7,20.6,NA,NA,NA,NA
1916,NA,20.2,22.3,NA,NA,NA,NA
1917,NA,21.3,23.4,NA,NA,NA,NA
1918,NA,18.6,20.5,NA,NA,NA,NA
1924,NA,NA,NA,NA,NA,41.4,NA
1925,NA,10.2,11.3,NA,NA,NA,NA
1926,NA,10.2,11.2,NA,NA,NA,NA
1927,NA,10.4,11.5,NA,NA,41.1,NA
1928,NA,10.1,11.1,NA,NA,NA,NA
1929,NA,10.1,11.1,NA,NA,NA,NA
1930,NA,NA,NA,NA,NA,42.4,NA
1932,NA,10.2,11.2,NA,NA,NA,NA
1933,NA,9.9,10.9,NA,NA,NA,NA
1934,NA,10.1,11.1,NA,NA,34.2,NA
1935,NA,11.0,12.1,NA,NA,NA,NA
1936,NA,12.4,13.6,NA,NA,NA,NA
1937,NA,13.6,14.9,NA,NA,NA,NA
1938,NA,14.5,16.0,NA,NA,NA,NA
1949,NA,8.7,9.6,NA,NA,NA,NA
1950,NA,9.2,10.1,NA,NA,NA,NA
1953,NA,NA,NA,NA,NA,24.6,NA
1954,NA,8.7,9.5,NA,NA,NA,NA
1957,NA,10.1,11.2,NA,NA,25.5,NA
1960,NA,NA,NA,NA,NA,31.7,NA
1961,NA,11.9,13.1,NA,NA,NA,NA
1962,28.8,NA,NA,NA,16.7,NA,NA
1963,NA,NA,NA,NA,NA,30.6,NA
1965,NA,11.2,12.3,NA,NA,NA,NA
1966,NA,NA,NA,NA,NA,27.7,NA
1968,NA,10.3,11.3,NA,NA,NA,NA
1969,25.5,NA,NA,NA,11.2,24.5,NA
1971,NA,10.4,11.4,NA,NA,NA,NA
1972,NA,NA,NA,NA,NA,21.5,NA
1973,24.5,NA,NA,NA,10.2,NA,85.0
1974,NA,9.2,10.2,NA,NA,20.1,NA
1977,NA,9.4,10.3,NA,NA,21.1,NA
1978,24.4,NA,NA,NA,10.2,NA,NA
1980,NA,9.8,10.7,6.9,NA,22.2,NA
1981,NA,9.4,NA,5.9,NA,NA,NA
1982,NA,9.2,NA,5.2,NA,NA,NA
1983,24.7,9.4,9.8,5.8,12.1,22.7,81.6
1984,25.2,9.4,NA,6.0,12.6,NA,NA
1985,24.0,9.6,NA,6.0,11.6,NA,NA
1986,23.9,10.0,10.2,6.6,11.0,23.7,NA
1987,23.6,10.4,NA,6.4,10.4,NA,NA
1988,24.2,11.3,NA,7.2,11.5,NA,78.2
1989,24.5,11.8,11.4,6.7,10.6,23.0,NA
1990,24.8,11.5,NA,6.9,11.2,NA,NA
1991,24.8,10.3,NA,6.3,11.1,NA,NA
1992,25.2,9.6,9.5,5.8,11.9,NA,NA
1993,25.3,9.2,NA,5.3,11.6,19.0,74.3
1994,26.0,8.9,NA,5.2,12.8,NA,NA
1995,25.5,8.8,8.2,5.6,12.0,NA,NA
1996,25.0,9.5,NA,5.7,10.8,NA,NA
1997,25.0,10.2,NA,5.8,10.5,NA,NA
1998,25.0,11.0,11.8,5.3,10.4,22.0,76.9
1999,24.9,10.6,NA,5.8,10.6,NA,NA
2000,25.5,10.5,NA,6.7,11.5,NA,NA
2001,25.7,10.3,11.4,6.2,12.2,NA,NA
2002,26.8,10.1,11.1,6.0,13.0,NA,76.4
2003,26.9,9.5,10.5,5.9,13.0,20.9,NA
2004,27.4,10.6,11.1,7.6,13.9,NA,NA
2005,28.8,12.1,12.9,7.3,14.0,NA,NA
2006,28.5,12.7,13.2,7.7,14.0,NA,NA
2007,28.6,13.6,14.0,8.7,14.2,NA,77.3
2008,28.3,13.5,14.5,9.1,14.5,23.2,NA
2009,28.3,13.0,13.2,8.3,15.2,NA,NA
2010,28.0,12.9,13.1,8.9,14.2,NA,NA
2011,28.6,12.8,13.1,8.6,14.4,NA,NA
2012,28.8,12.6,13.0,8.6,14.4,NA,74.7
2013,NA,13.1,13.2,10.0,NA,21.5,NA
2014,NA,13.3,NA,10.2,NA,NA,NA
2015,NA,13.3,NA,10.1,NA,NA,NA
2016,NA,13.3,NA,10.1,NA,NA,NA
2017,NA,13.2,NA,10.0,NA,NA,NA
2018,NA,12.9,NA,9.8,NA,22.9,NA
2019,NA,12.9,NA,9.7,NA,NA,NA
