Country,Reference,Reference URL
Argentina,"Altimir, Oscar. “Estimaciones De La Distribución Del Ingreso En La Argentina, 1953-1980.” Desarrollo Económico, vol. 25, no. 100, 1986, p. 521., https://doi.org/10.2307/3466844. ",https://www.jstor.org/stable/3466844
Argentina,"Alvaredo, Facundo. “The Rich in Argentina over the Twentieth Century 1932-2004.” Top Incomes: A Global Perspective, Oxford University Press, Oxford, 2010, pp. 253–284. ","https://books.google.com/books?hl=en&lr=&id=eGaVAwAAQBAJ&oi=fnd&pg=PA253&dq=Alvaredo,+F,+2010,+%E2%80%9CThe+rich+in+Argentina+over+the+twentieth+century+1932-2004%E2%80%9D+in+A+B+Atkinson+and+T+Pikett&ots=wfMrsULQyg&sig=cKqjoYD2Yy5S7HWJOqD5-5yOSLU#v=onepage&q&f=false"
Argentina,"Chancel, Lucas, and Thomas Piketty. “Countries with Regional Income Imputations on WID.world.” WID.world, 2021, http://wordpress.wid.world/document/countries-with-regional-income-imputations-on-wid-world-world-inequality-lab-technical-note-2021-15/.",http://wordpress.wid.world/document/countries-with-regional-income-imputations-on-wid-world-world-inequality-lab-technical-note-2021-15/
Argentina,"Cruces, Guillermo, and Leonardo Gasparini. “A Distribution in Motion: The Case of Argentina.” Universidad Nacional De La Plata, Centro De Estudios Distributivos, Laborales y Sociales (CEDLAS), 2008. ",https://www.econstor.eu/handle/10419/127594
Argentina,"De Rosa, Mauricio, et al. “2021 DINA Regional Update for Latin America.” WID.world, 2021, http://wordpress.wid.world/document/2021-dina-regional-update-for-latin-america-world-inequality-lab-technical-note-2021-7/. ",http://wordpress.wid.world/document/2021-dina-regional-update-for-latin-america-world-inequality-lab-technical-note-2021-7/
Argentina,"Gasparini, Leonardo, et al. “Recent Trends in Income Inequality in Latin America.” Economía, vol. 11, no. 2, 2011, pp. 147–190., https://doi.org/10.1353/eco.2011.0002.",https://muse.jhu.edu/article/430783
Australia,"Atkinson, Anthony B. “Australia.” The Changing Distribution of Earnings in OECD Countries, Oxford University Press, Oxford, 2008.",https://books.google.com/books/about/Top_Incomes.html?id=zLQUDAAAQBAJ
Australia,"Atkinson, Anthony B., and Andrew Leigh. “The Distribution of Top Incomes in Australia.” Economic Record, vol. 83, no. 262, 2007, pp. 247–261.",https://onlinelibrary.wiley.com/doi/full/10.1111/j.1475-4932.2007.00412.x?casa_token=ppDgrAPAhFIAAAAA%3AR5Wmba9DMv0INE4b4WSFfum5bp2lF9Yu0ohdnGwjzeEDzrh_owtiX16R6WU16jeelDFXQu1euuMbQnI
Australia,"Burkhauser, Richard V., et al. “Measuring Top Incomes Using Tax Record Data: A Cautionary Tale from Australia.” The Journal of Economic Inequality, vol. 13, no. 2, 2015, pp. 181–205.",https://link.springer.com/article/10.1007/s10888-014-9281-z
Australia,"Hancock, Keith. ""The economics of social welfare in the 1970s."" Social Welfare in the 1970s, Australian Council of Social Service, Sydney, 1971.",
