country,year,value,series_code,dimension,measure,welfare_concept,short_reference,long_reference,reference url,preferred_definition,description,source_codes_used,legend
Argentina,1953,40.0,S1,Overall Income Inequality,Gini coefficient,Household income,Altimir (1986),Altimir (1986) Cuadro 7,https://www.jstor.org/stable/3466844,,,,
Argentina,1959,44.7,S1,Overall Income Inequality,Gini coefficient,Household income,Altimir (1986),Altimir (1986) Cuadro 7,https://www.jstor.org/stable/3466844,,,,
Argentina,1961,41.9,S1,Overall Income Inequality,Gini coefficient,Household income,Altimir (1986),Altimir (1986) Cuadro 7,https://www.jstor.org/stable/3466844,,,,
Argentina,1972,35.3,S1,Overall Income Inequality,Gini coefficient,Household income,Altimir (1986),Altimir (1986) Cuadro 7,https://www.jstor.org/stable/3466844,,,,
Argentina,1980,37.6,S1,Overall Income Inequality,Gini coefficient,Household income,Altimir (1986),Altimir (1986) Cuadro 7,https://www.jstor.org/stable/3466844,,,,
Argentina,1986,40.5,S1,Overall Income Inequality,Gini coefficient,Household income,Altimir (1986),Altimir (1986) Cuadro 7,https://www.jstor.org/stable/3466844,,,,
Argentina,1987,43.1,S1,Overall Income Inequality,Gini coefficient,Household income,Altimir (1986),Altimir (1986) Cuadro 7,https://www.jstor.org/stable/3466844,,,,
Argentina,1988,43.7,S1,Overall Income Inequality,Gini coefficient,Household income,Altimir (1986),Altimir (1986) Cuadro 7,https://www.jstor.org/stable/3466844,,,,
Argentina,1991,44.2,S1,Overall Income Inequality,Gini coefficient,Household income,Altimir (1986),Altimir (1986) Cuadro 7,https://www.jstor.org/stable/3466844,,,,
Argentina,1992,42.4,S1,Overall Income Inequality,Gini coefficient,Household income,Altimir (1986),Altimir (1986) Cuadro 7,https://www.jstor.org/stable/3466844,,,,
Argentina,1974,32.2,S2,Overall Income Inequality,Gini coefficient,Equivalised household income (Greater Buenos Aires),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
Argentina,1980,37.6,S2,Overall Income Inequality,Gini coefficient,Equivalised household income (Greater Buenos Aires),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
Argentina,1986,40.5,S2,Overall Income Inequality,Gini coefficient,Equivalised household income (Greater Buenos Aires),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
Argentina,1987,43.1,S2,Overall Income Inequality,Gini coefficient,Equivalised household income (Greater Buenos Aires),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
Argentina,1988,43.7,S2,Overall Income Inequality,Gini coefficient,Equivalised household income (Greater Buenos Aires),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
Argentina,1991,44.2,S2,Overall Income Inequality,Gini coefficient,Equivalised household income (Greater Buenos Aires),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
Argentina,1992,42.4,S2,Overall Income Inequality,Gini coefficient,Equivalised household income (Greater Buenos Aires),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
Argentina,1992,42.9,S3,Overall Income Inequality,Gini coefficient,Equivalised household income (15 main cities),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
Argentina,1993,42.3,S3,Overall Income Inequality,Gini coefficient,Equivalised household income (15 main cities),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
Argentina,1994,43.1,S3,Overall Income Inequality,Gini coefficient,Equivalised household income (15 main cities),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
Argentina,1995,46.0,S3,Overall Income Inequality,Gini coefficient,Equivalised household income (15 main cities),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
Argentina,1996,46.3,S3,Overall Income Inequality,Gini coefficient,Equivalised household income (15 main cities),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
Argentina,1997,46.1,S3,Overall Income Inequality,Gini coefficient,Equivalised household income (15 main cities),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
Argentina,1998,48.0,S3,Overall Income Inequality,Gini coefficient,Equivalised household income (15 main cities),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
Argentina,1998,47.8,S4,Overall Income Inequality,Gini coefficient,Equivalised household income (28 main cities),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
Argentina,1999,46.8,S4,Overall Income Inequality,Gini coefficient,Equivalised household income (28 main cities),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
Argentina,2000,48.2,S4,Overall Income Inequality,Gini coefficient,Equivalised household income (28 main cities),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
Argentina,2001,50.1,S4,Overall Income Inequality,Gini coefficient,Equivalised household income (28 main cities),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
Argentina,2002,51.2,S4,Overall Income Inequality,Gini coefficient,Equivalised household income (28 main cities),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
Argentina,2003,50.6,S4,Overall Income Inequality,Gini coefficient,Equivalised household income (28 main cities),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
Argentina,2003,48.7,S5,Overall Income Inequality,Gini coefficient,Equivalised household income (EPHC),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
