year,Overall Income Inequality - Household per capita expenditure,Poverty - Household per capita expenditure,Top Income Shares - Pre-tax national income (equal-split adults)
1964,37.96416938,NA,NA
1967,37.28013029,NA,NA
1969,35,NA,NA
1976,34,NA,NA
1978,38,NA,NA
1980,34,NA,15.48
1981,33,NA,15.48
1984,33,NA,15.48
1987,32,NA,17.31
1990,32,NA,15.68
1993,34,NA,18.29
1996,36.6,NA,20.09
1999,37.3,23.43,14.31
2001,31,18.41,15.47
2002,34.4,18.2,15.08
2005,35.1,15.97,16.86
2007,37.4,16.58,16.49
2008,36.7,15.42,18.83
2009,37.2,14.15,20.56
2010,38.2,13.33,16.83
2011,40.9,12.425,18.02
2012,42.5,11.81,17.92
2013,42.75,11.42,17.47
2014,43.05,11.105,17.51
2015,42.35,11.175,18.52
2016,40.95,10.78,16.26
2017,40.543,10.38,15.97
2018,36.25,9.74,18.28
2019,39,9.315,18.28
2020,39.3,9.985,18.28
