year,Gini coefficient - Per capita household consumption,Gini coefficient - Equivalised disposable household income,Share of top 1% - Pre-tax national income (equal-split adults),"Share of top 1% - Pre-tax fiscal income (equal-split adults, excluding capital gains)",Share below absolute poverty line (Lakdawala methodology) - Per capita household consumption,Share below absolute poverty line (Tendulkar methodology) - Per capita household consumption,Share below absolute poverty line (Rangarajan methodology) - Per capita household consumption,Gini coefficient - Daily individual earnings of regular workers,Share of top 1% - Individual net wealth
1922.0,NA,NA,13.1,13.1,NA,NA,NA,NA,NA
1923.0,NA,NA,13.2,13.2,NA,NA,NA,NA,NA
1924.0,NA,NA,14.1,14.1,NA,NA,NA,NA,NA
1925.0,NA,NA,12.6,12.6,NA,NA,NA,NA,NA
1926.0,NA,NA,13.0,13.0,NA,NA,NA,NA,NA
1927.0,NA,NA,13.4,13.4,NA,NA,NA,NA,NA
1928.0,NA,NA,13.7,13.7,NA,NA,NA,NA,NA
1929.0,NA,NA,13.3,13.3,NA,NA,NA,NA,NA
1930.0,NA,NA,13.7,13.7,NA,NA,NA,NA,NA
1931.0,NA,NA,13.3,13.3,NA,NA,NA,NA,NA
1932.0,NA,NA,16.3,16.3,NA,NA,NA,NA,NA
1933.0,NA,NA,16.8,16.8,NA,NA,NA,NA,NA
1934.0,NA,NA,18.3,18.3,NA,NA,NA,NA,NA
1935.0,NA,NA,20.2,20.2,NA,NA,NA,NA,NA
1936.0,NA,NA,19.8,19.8,NA,NA,NA,NA,NA
1937.0,NA,NA,19.1,19.1,NA,NA,NA,NA,NA
1938.0,NA,NA,19.6,19.6,NA,NA,NA,NA,NA
1939.0,NA,NA,20.7,20.7,NA,NA,NA,NA,NA
1940.0,NA,NA,19.5,19.5,NA,NA,NA,NA,NA
1941.0,NA,NA,18.9,18.9,NA,NA,NA,NA,NA
1943.0,NA,NA,13.8,13.8,NA,NA,NA,NA,NA
1944.0,NA,NA,10.4,10.4,NA,NA,NA,NA,NA
1945.0,NA,NA,10.6,10.6,NA,NA,NA,NA,NA
1947.0,NA,NA,13.0,13.0,NA,NA,NA,NA,NA
1948.0,NA,NA,11.5,11.5,NA,NA,NA,NA,NA
1949.0,NA,NA,10.3,10.3,NA,NA,NA,NA,NA
1950.0,NA,NA,11.7,11.7,NA,NA,NA,NA,NA
1951.0,36.3,NA,11.8,11.5,NA,NA,NA,NA,NA
1952.0,36.1,NA,12.1,11.8,NA,NA,NA,NA,NA
1953.0,35.5,NA,11.4,11.1,NA,NA,NA,NA,NA
1954.0,37.7,NA,12.9,12.6,NA,NA,NA,NA,NA
1955.0,35.7,NA,13.9,13.7,NA,NA,NA,NA,NA
1956.0,34.9,NA,14.1,13.8,NA,NA,NA,NA,NA
1957.0,36.1,NA,14.4,14.1,NA,NA,NA,NA,NA
1958.0,35.2,NA,13.9,13.6,NA,NA,NA,NA,NA
1959.0,35.3,NA,13.3,12.9,NA,NA,NA,NA,NA
1960.0,33.2,NA,13.5,13.2,NA,NA,NA,NA,NA
1961.0,33.7,NA,13.0,12.7,NA,NA,NA,NA,11.9
1962.0,33.2,NA,12.9,12.6,NA,NA,NA,NA,NA
1963.0,31.3,NA,12.6,12.2,NA,NA,NA,NA,NA
1964.0,31.6,NA,12.3,12.0,NA,NA,NA,NA,NA
1965.0,31.7,NA,13.0,12.6,NA,NA,NA,NA,NA
1966.0,31.7,NA,13.3,12.9,NA,NA,NA,NA,NA
1967.0,31.1,NA,12.9,12.6,NA,NA,NA,NA,NA
1968.0,32.5,NA,12.5,12.1,NA,NA,NA,NA,NA
1969.0,32.1,NA,13.3,12.9,NA,NA,NA,NA,NA
1970.0,31.0,NA,13.3,13.0,NA,NA,NA,NA,NA
1971.0,NA,NA,11.7,11.4,NA,NA,NA,NA,11.2
1972.0,NA,NA,11.3,11.0,NA,NA,NA,NA,NA
1973.0,32.5,NA,10.5,10.2,54.9,NA,NA,NA,NA
1974.0,29.8,NA,10.4,10.1,NA,NA,NA,NA,NA
1975.0,NA,NA,10.7,10.4,NA,NA,NA,NA,NA
1976.0,NA,NA,10.6,10.3,NA,NA,NA,NA,NA
1977.0,32.7,NA,10.0,9.7,51.3,NA,NA,NA,NA
1978.0,NA,NA,9.5,9.3,NA,NA,NA,NA,NA
1979.0,NA,NA,8.2,8.0,NA,NA,NA,NA,NA
1980.0,NA,NA,7.5,7.3,NA,NA,NA,NA,NA
1981.0,NA,NA,6.9,6.7,NA,NA,NA,NA,12.5
1982.0,NA,NA,6.3,6.1,NA,NA,NA,NA,NA
1983.0,32.1,NA,10.6,10.3,44.5,NA,NA,41.9,NA
1984.0,NA,NA,9.1,8.9,NA,NA,NA,NA,NA
1985.0,NA,NA,10.7,10.5,NA,NA,NA,NA,NA
1986.0,NA,NA,11.1,10.8,NA,NA,NA,NA,NA
1987.0,32.6,NA,10.6,10.3,38.9,NA,NA,NA,NA
1988.0,NA,NA,11.4,11.1,NA,NA,NA,NA,NA
1989.0,NA,NA,11.3,11.0,NA,NA,NA,NA,NA
1990.0,NA,NA,10.7,10.5,NA,NA,NA,NA,NA
1991.0,NA,NA,10.4,10.2,NA,NA,NA,NA,16.1
1992.0,NA,NA,10.3,10.0,NA,NA,NA,NA,NA
1993.0,32.7,NA,12.8,12.5,36.0,45.3,NA,40.0,NA
1994.0,NA,NA,12.7,12.4,NA,NA,NA,NA,NA
1995.0,NA,NA,13.4,13.0,NA,NA,NA,NA,NA
1996.0,NA,NA,13.6,13.2,NA,NA,NA,NA,NA
1997.0,NA,NA,14.2,13.8,NA,NA,NA,NA,NA
1998.0,NA,NA,14.7,14.4,NA,NA,NA,NA,NA
1999.0,NA,NA,15.1,14.7,NA,NA,NA,NA,NA
2000.0,NA,NA,15.5,15.1,NA,NA,NA,NA,NA
2001.0,NA,NA,16.3,15.9,NA,NA,NA,NA,NA
2002.0,NA,NA,17.1,16.7,NA,NA,NA,NA,24.4
2003.0,NA,NA,17.9,17.5,NA,NA,NA,NA,NA
2004.0,36.8,49.0,18.8,18.4,27.5,37.2,NA,48.4,NA
2005.0,NA,NA,19.7,19.3,NA,NA,NA,NA,NA
2006.0,NA,NA,20.1,19.7,NA,NA,NA,NA,NA
2007.0,NA,NA,20.5,20.1,NA,NA,NA,NA,NA
2008.0,NA,NA,20.9,20.5,NA,NA,NA,NA,NA
2009.0,37.5,NA,21.3,20.8,NA,29.8,38.2,NA,NA
2010.0,NA,NA,21.6,21.2,NA,NA,NA,NA,NA
2011.0,37.8,50.1,21.5,21.1,NA,21.9,29.5,NA,NA
2012.0,NA,NA,21.7,21.3,NA,NA,NA,NA,30.7
2013.0,NA,NA,22.0,21.6,NA,NA,NA,NA,NA
2014.0,NA,NA,21.7,21.3,NA,NA,NA,NA,NA
2015.0,NA,NA,21.7,21.3,NA,NA,NA,NA,NA
2016.0,NA,NA,21.7,NA,NA,NA,NA,NA,NA
2017.0,NA,NA,21.7,NA,NA,NA,NA,NA,NA
2018.0,NA,NA,21.7,NA,NA,NA,NA,NA,NA
2019.0,NA,NA,21.7,NA,NA,NA,NA,NA,NA
