year,Top decile as % median - Gross individual earnings
1939.0,177.9
1949.0,153.1
1950.0,151.3
1951.0,150.1
1952.0,155.2
1953.0,156.8
1954.0,158.3
1955.0,163.6
1956.0,163.4
1957.0,166.5
1958.0,171.0
1959.0,171.4
1960.0,176.4
1961.0,178.1
1962.0,178.7
1963.0,180.6
1964.0,179.8
1965.0,187.1
1966.0,182.3
1967.0,184.0
1968.0,190.4
1969.0,190.8
1970.0,188.7
1971.0,194.0
1972.0,198.2
1973.0,194.0
1974.0,196.0
1975.0,195.0
1976.0,199.0
1977.0,199.0
1978.0,199.0
1979.0,199.0
1980.0,199.0
1981.0,203.0
1982.0,204.0
1983.0,207.0
1984.0,211.0
1985.0,204.0
1986.0,211.0
1987.0,212.0
1988.0,216.0
1989.0,213.0
1990.0,214.0
1991.0,219.0
1992.0,213.0
1993.0,211.0
1994.0,220.0
1995.0,221.0
1996.0,227.0
1997.0,226.0
1998.0,225.0
1999.0,223.0
2000.0,225.0
2001.0,229.0
2002.0,228.0
2003.0,228.0
2004.0,227.0
2005.0,229.0
2006.0,233.0
2007.0,234.0
2008.0,235.0
2009.0,238.0
2010.0,240.0
2011.0,241.0
2012.0,246.0
2013.0,247.0
2014.0,244.0
2015.0,250.0
2016.0,250.0
2017.0,253.0
2018.0,253.0
2019.0,249.0
2020.0,253.0
2021.0,248.0
