year,Share below 60% median
1961,13.02307502
1962,13.38742957
1963,14.94970348
1964,12.14454798
1965,13.13869446
1966,13.29529085
1967,13.06623211
1968,12.03162699
1969,13.77922193
1970,13.02802506
1971,14.75295521
1972,15.78152862
1973,13.57674718
1974,13.45299514
1975,12.54409417
1976,12.28075837
1977,11.33909885
1978,13.05420082
1979,13.33102722
1980,15.1993522
1981,13.64346743
1982,12.16602509
1983,12.62901655
1984,12.81298189
1985,14.0358454
1986,15.79556643
1987,17.80171726
1988,20.91542125
1989,21.4770733
1990,22.16982672
1991,21.19966911
1992,21.85140225
1993,19.8940681
1994,18.84023121
1995,17.89767607
1996,19.42264186
1997,19.5720932
1998,19.34608933
1999,19.14613146
2000,18.43866931
2001,18.37075065
2002,17.8036409
2003,17.55185935
2004,16.91707896
2005,17.37842644
2006,17.8980445
2007,18.19109442
2008,17.97566901
2009,16.94794083
2010,15.92449047
2011,15.75767364
2012,15.43336331
2013,15.2656601
2014,15.9083579
2015,16.31999248
2016,16.22156218
2017,17.16024766
