year,value,series_code,dimension,measure,welfare_concept,short_reference,long_reference,reference url,preferred_definition,description,source_codes_used,legend
1938,42.6,S1,Overall Income Inequality,Gini coefficient,Income (tax units),Royal Commission on the Distribution of Income and Wealth (1979),Royal Commission on the Distribution of Income and Wealth (1979) Pg. 23,,,,,Gini coefficient - Income (tax units) (Royal Commission on the Distribution of Income and Wealth (1979))
1949,35.5,S2,Overall Income Inequality,Gini coefficient,Income (tax units),Atkinson & Micklewright (1992),Atkinson & Micklewright (1992) Table BI1,"https://books.google.co.uk/books?hl=en&lr=&id=zaL4CGdjOkUC&oi=fnd&pg=PR8&dq=Atkinson,+A+B+and+Micklewright,+J,+1992,+Economic+transformation+in+Eastern+Europe+and+the+distribution+of+income&ots=RGvaphqz7O&sig=C-MM0o3b7NTTQ2-E16K7N7n5bV0&redir_esc=y#v=onepage&q=Atkinson%2C%20A%20B%20and%20Micklewright%2C%20J%2C%201992%2C%20Economic%20transformation%20in%20Eastern%20Europe%20and%20the%20distribution%20of%20income&f=false",,,,Gini coefficient - Income (tax units) (Atkinson & Micklewright (1992))
1954,35.8,S2,Overall Income Inequality,Gini coefficient,Income (tax units),Atkinson & Micklewright (1992),Atkinson & Micklewright (1992) Table BI1,"https://books.google.co.uk/books?hl=en&lr=&id=zaL4CGdjOkUC&oi=fnd&pg=PR8&dq=Atkinson,+A+B+and+Micklewright,+J,+1992,+Economic+transformation+in+Eastern+Europe+and+the+distribution+of+income&ots=RGvaphqz7O&sig=C-MM0o3b7NTTQ2-E16K7N7n5bV0&redir_esc=y#v=onepage&q=Atkinson%2C%20A%20B%20and%20Micklewright%2C%20J%2C%201992%2C%20Economic%20transformation%20in%20Eastern%20Europe%20and%20the%20distribution%20of%20income&f=false",,,,Gini coefficient - Income (tax units) (Atkinson & Micklewright (1992))
1959,36,S2,Overall Income Inequality,Gini coefficient,Income (tax units),Atkinson & Micklewright (1992),Atkinson & Micklewright (1992) Table BI1,"https://books.google.co.uk/books?hl=en&lr=&id=zaL4CGdjOkUC&oi=fnd&pg=PR8&dq=Atkinson,+A+B+and+Micklewright,+J,+1992,+Economic+transformation+in+Eastern+Europe+and+the+distribution+of+income&ots=RGvaphqz7O&sig=C-MM0o3b7NTTQ2-E16K7N7n5bV0&redir_esc=y#v=onepage&q=Atkinson%2C%20A%20B%20and%20Micklewright%2C%20J%2C%201992%2C%20Economic%20transformation%20in%20Eastern%20Europe%20and%20the%20distribution%20of%20income&f=false",,,,Gini coefficient - Income (tax units) (Atkinson & Micklewright (1992))
1962,35.6,S2,Overall Income Inequality,Gini coefficient,Income (tax units),Atkinson & Micklewright (1992),Atkinson & Micklewright (1992) Table BI1,"https://books.google.co.uk/books?hl=en&lr=&id=zaL4CGdjOkUC&oi=fnd&pg=PR8&dq=Atkinson,+A+B+and+Micklewright,+J,+1992,+Economic+transformation+in+Eastern+Europe+and+the+distribution+of+income&ots=RGvaphqz7O&sig=C-MM0o3b7NTTQ2-E16K7N7n5bV0&redir_esc=y#v=onepage&q=Atkinson%2C%20A%20B%20and%20Micklewright%2C%20J%2C%201992%2C%20Economic%20transformation%20in%20Eastern%20Europe%20and%20the%20distribution%20of%20income&f=false",,,,Gini coefficient - Income (tax units) (Atkinson & Micklewright (1992))
1963,35.6,S2,Overall Income Inequality,Gini coefficient,Income (tax units),Atkinson & Micklewright (1992),Atkinson & Micklewright (1992) Table BI1,"https://books.google.co.uk/books?hl=en&lr=&id=zaL4CGdjOkUC&oi=fnd&pg=PR8&dq=Atkinson,+A+B+and+Micklewright,+J,+1992,+Economic+transformation+in+Eastern+Europe+and+the+distribution+of+income&ots=RGvaphqz7O&sig=C-MM0o3b7NTTQ2-E16K7N7n5bV0&redir_esc=y#v=onepage&q=Atkinson%2C%20A%20B%20and%20Micklewright%2C%20J%2C%201992%2C%20Economic%20transformation%20in%20Eastern%20Europe%20and%20the%20distribution%20of%20income&f=false",,,,Gini coefficient - Income (tax units) (Atkinson & Micklewright (1992))
1964,36.6,S2,Overall Income Inequality,Gini coefficient,Income (tax units),Atkinson & Micklewright (1992),Atkinson & Micklewright (1992) Table BI1,"https://books.google.co.uk/books?hl=en&lr=&id=zaL4CGdjOkUC&oi=fnd&pg=PR8&dq=Atkinson,+A+B+and+Micklewright,+J,+1992,+Economic+transformation+in+Eastern+Europe+and+the+distribution+of+income&ots=RGvaphqz7O&sig=C-MM0o3b7NTTQ2-E16K7N7n5bV0&redir_esc=y#v=onepage&q=Atkinson%2C%20A%20B%20and%20Micklewright%2C%20J%2C%201992%2C%20Economic%20transformation%20in%20Eastern%20Europe%20and%20the%20distribution%20of%20income&f=false",,,,Gini coefficient - Income (tax units) (Atkinson & Micklewright (1992))
1965,35.4,S2,Overall Income Inequality,Gini coefficient,Income (tax units),Atkinson & Micklewright (1992),Atkinson & Micklewright (1992) Table BI1,"https://books.google.co.uk/books?hl=en&lr=&id=zaL4CGdjOkUC&oi=fnd&pg=PR8&dq=Atkinson,+A+B+and+Micklewright,+J,+1992,+Economic+transformation+in+Eastern+Europe+and+the+distribution+of+income&ots=RGvaphqz7O&sig=C-MM0o3b7NTTQ2-E16K7N7n5bV0&redir_esc=y#v=onepage&q=Atkinson%2C%20A%20B%20and%20Micklewright%2C%20J%2C%201992%2C%20Economic%20transformation%20in%20Eastern%20Europe%20and%20the%20distribution%20of%20income&f=false",,,,Gini coefficient - Income (tax units) (Atkinson & Micklewright (1992))
1966,33.7,S2,Overall Income Inequality,Gini coefficient,Income (tax units),Atkinson & Micklewright (1992),Atkinson & Micklewright (1992) Table BI1,"https://books.google.co.uk/books?hl=en&lr=&id=zaL4CGdjOkUC&oi=fnd&pg=PR8&dq=Atkinson,+A+B+and+Micklewright,+J,+1992,+Economic+transformation+in+Eastern+Europe+and+the+distribution+of+income&ots=RGvaphqz7O&sig=C-MM0o3b7NTTQ2-E16K7N7n5bV0&redir_esc=y#v=onepage&q=Atkinson%2C%20A%20B%20and%20Micklewright%2C%20J%2C%201992%2C%20Economic%20transformation%20in%20Eastern%20Europe%20and%20the%20distribution%20of%20income&f=false",,,,Gini coefficient - Income (tax units) (Atkinson & Micklewright (1992))
1967,33.5,S2,Overall Income Inequality,Gini coefficient,Income (tax units),Atkinson & Micklewright (1992),Atkinson & Micklewright (1992) Table BI1,"https://books.google.co.uk/books?hl=en&lr=&id=zaL4CGdjOkUC&oi=fnd&pg=PR8&dq=Atkinson,+A+B+and+Micklewright,+J,+1992,+Economic+transformation+in+Eastern+Europe+and+the+distribution+of+income&ots=RGvaphqz7O&sig=C-MM0o3b7NTTQ2-E16K7N7n5bV0&redir_esc=y#v=onepage&q=Atkinson%2C%20A%20B%20and%20Micklewright%2C%20J%2C%201992%2C%20Economic%20transformation%20in%20Eastern%20Europe%20and%20the%20distribution%20of%20income&f=false",,,,Gini coefficient - Income (tax units) (Atkinson & Micklewright (1992))
1968,33.2,S2,Overall Income Inequality,Gini coefficient,Income (tax units),Atkinson & Micklewright (1992),Atkinson & Micklewright (1992) Table BI1,"https://books.google.co.uk/books?hl=en&lr=&id=zaL4CGdjOkUC&oi=fnd&pg=PR8&dq=Atkinson,+A+B+and+Micklewright,+J,+1992,+Economic+transformation+in+Eastern+Europe+and+the+distribution+of+income&ots=RGvaphqz7O&sig=C-MM0o3b7NTTQ2-E16K7N7n5bV0&redir_esc=y#v=onepage&q=Atkinson%2C%20A%20B%20and%20Micklewright%2C%20J%2C%201992%2C%20Economic%20transformation%20in%20Eastern%20Europe%20and%20the%20distribution%20of%20income&f=false",,,,Gini coefficient - Income (tax units) (Atkinson & Micklewright (1992))
1969,33.5,S2,Overall Income Inequality,Gini coefficient,Income (tax units),Atkinson & Micklewright (1992),Atkinson & Micklewright (1992) Table BI1,"https://books.google.co.uk/books?hl=en&lr=&id=zaL4CGdjOkUC&oi=fnd&pg=PR8&dq=Atkinson,+A+B+and+Micklewright,+J,+1992,+Economic+transformation+in+Eastern+Europe+and+the+distribution+of+income&ots=RGvaphqz7O&sig=C-MM0o3b7NTTQ2-E16K7N7n5bV0&redir_esc=y#v=onepage&q=Atkinson%2C%20A%20B%20and%20Micklewright%2C%20J%2C%201992%2C%20Economic%20transformation%20in%20Eastern%20Europe%20and%20the%20distribution%20of%20income&f=false",,,,Gini coefficient - Income (tax units) (Atkinson & Micklewright (1992))
1970,33.9,S2,Overall Income Inequality,Gini coefficient,Income (tax units),Atkinson & Micklewright (1992),Atkinson & Micklewright (1992) Table BI1,"https://books.google.co.uk/books?hl=en&lr=&id=zaL4CGdjOkUC&oi=fnd&pg=PR8&dq=Atkinson,+A+B+and+Micklewright,+J,+1992,+Economic+transformation+in+Eastern+Europe+and+the+distribution+of+income&ots=RGvaphqz7O&sig=C-MM0o3b7NTTQ2-E16K7N7n5bV0&redir_esc=y#v=onepage&q=Atkinson%2C%20A%20B%20and%20Micklewright%2C%20J%2C%201992%2C%20Economic%20transformation%20in%20Eastern%20Europe%20and%20the%20distribution%20of%20income&f=false",,,,Gini coefficient - Income (tax units) (Atkinson & Micklewright (1992))
1971,34.2,S2,Overall Income Inequality,Gini coefficient,Income (tax units),Atkinson & Micklewright (1992),Atkinson & Micklewright (1992) Table BI1,"https://books.google.co.uk/books?hl=en&lr=&id=zaL4CGdjOkUC&oi=fnd&pg=PR8&dq=Atkinson,+A+B+and+Micklewright,+J,+1992,+Economic+transformation+in+Eastern+Europe+and+the+distribution+of+income&ots=RGvaphqz7O&sig=C-MM0o3b7NTTQ2-E16K7N7n5bV0&redir_esc=y#v=onepage&q=Atkinson%2C%20A%20B%20and%20Micklewright%2C%20J%2C%201992%2C%20Economic%20transformation%20in%20Eastern%20Europe%20and%20the%20distribution%20of%20income&f=false",,,,Gini coefficient - Income (tax units) (Atkinson & Micklewright (1992))
1972,33.1,S2,Overall Income Inequality,Gini coefficient,Income (tax units),Atkinson & Micklewright (1992),Atkinson & Micklewright (1992) Table BI1,"https://books.google.co.uk/books?hl=en&lr=&id=zaL4CGdjOkUC&oi=fnd&pg=PR8&dq=Atkinson,+A+B+and+Micklewright,+J,+1992,+Economic+transformation+in+Eastern+Europe+and+the+distribution+of+income&ots=RGvaphqz7O&sig=C-MM0o3b7NTTQ2-E16K7N7n5bV0&redir_esc=y#v=onepage&q=Atkinson%2C%20A%20B%20and%20Micklewright%2C%20J%2C%201992%2C%20Economic%20transformation%20in%20Eastern%20Europe%20and%20the%20distribution%20of%20income&f=false",,,,Gini coefficient - Income (tax units) (Atkinson & Micklewright (1992))
1973,32.8,S2,Overall Income Inequality,Gini coefficient,Income (tax units),Atkinson & Micklewright (1992),Atkinson & Micklewright (1992) Table BI1,"https://books.google.co.uk/books?hl=en&lr=&id=zaL4CGdjOkUC&oi=fnd&pg=PR8&dq=Atkinson,+A+B+and+Micklewright,+J,+1992,+Economic+transformation+in+Eastern+Europe+and+the+distribution+of+income&ots=RGvaphqz7O&sig=C-MM0o3b7NTTQ2-E16K7N7n5bV0&redir_esc=y#v=onepage&q=Atkinson%2C%20A%20B%20and%20Micklewright%2C%20J%2C%201992%2C%20Economic%20transformation%20in%20Eastern%20Europe%20and%20the%20distribution%20of%20income&f=false",,,,Gini coefficient - Income (tax units) (Atkinson & Micklewright (1992))
1974,32.4,S2,Overall Income Inequality,Gini coefficient,Income (tax units),Atkinson & Micklewright (1992),Atkinson & Micklewright (1992) Table BI1,"https://books.google.co.uk/books?hl=en&lr=&id=zaL4CGdjOkUC&oi=fnd&pg=PR8&dq=Atkinson,+A+B+and+Micklewright,+J,+1992,+Economic+transformation+in+Eastern+Europe+and+the+distribution+of+income&ots=RGvaphqz7O&sig=C-MM0o3b7NTTQ2-E16K7N7n5bV0&redir_esc=y#v=onepage&q=Atkinson%2C%20A%20B%20and%20Micklewright%2C%20J%2C%201992%2C%20Economic%20transformation%20in%20Eastern%20Europe%20and%20the%20distribution%20of%20income&f=false",,,,Gini coefficient - Income (tax units) (Atkinson & Micklewright (1992))
1975,31.5,S2,Overall Income Inequality,Gini coefficient,Income (tax units),Atkinson & Micklewright (1992),Atkinson & Micklewright (1992) Table BI1,"https://books.google.co.uk/books?hl=en&lr=&id=zaL4CGdjOkUC&oi=fnd&pg=PR8&dq=Atkinson,+A+B+and+Micklewright,+J,+1992,+Economic+transformation+in+Eastern+Europe+and+the+distribution+of+income&ots=RGvaphqz7O&sig=C-MM0o3b7NTTQ2-E16K7N7n5bV0&redir_esc=y#v=onepage&q=Atkinson%2C%20A%20B%20and%20Micklewright%2C%20J%2C%201992%2C%20Economic%20transformation%20in%20Eastern%20Europe%20and%20the%20distribution%20of%20income&f=false",,,,Gini coefficient - Income (tax units) (Atkinson & Micklewright (1992))
1976,31.5,S2,Overall Income Inequality,Gini coefficient,Income (tax units),Atkinson & Micklewright (1992),Atkinson & Micklewright (1992) Table BI1,"https://books.google.co.uk/books?hl=en&lr=&id=zaL4CGdjOkUC&oi=fnd&pg=PR8&dq=Atkinson,+A+B+and+Micklewright,+J,+1992,+Economic+transformation+in+Eastern+Europe+and+the+distribution+of+income&ots=RGvaphqz7O&sig=C-MM0o3b7NTTQ2-E16K7N7n5bV0&redir_esc=y#v=onepage&q=Atkinson%2C%20A%20B%20and%20Micklewright%2C%20J%2C%201992%2C%20Economic%20transformation%20in%20Eastern%20Europe%20and%20the%20distribution%20of%20income&f=false",,,,Gini coefficient - Income (tax units) (Atkinson & Micklewright (1992))
1961,26.11112,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1962,24.83952,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1963,27.11299,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1964,26.41318,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1965,25.12448,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1966,26.0634,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1967,25.09403,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1968,24.95084,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1969,25.66273,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1970,25.91464,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1971,26.63186,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
