year,Overall Income Inequality - Equivalised disposable household income,Poverty - Equivalised household disposable income (incl. capital gains),Top Income Shares - Pre-tax national income (equal-split adults),Wealth Inequality - Individual net wealth
1975,23.83943662,NA,9.12,17
1978,22.52112676,NA,7.68,16.6
1980,22.08169014,NA,7.12,NA
1981,21.86197183,NA,7.26,NA
1982,22.30140845,NA,8.24,NA
1983,22.08169014,NA,8.58,17.7
1984,23.07042254,NA,9.77,NA
1985,23.18028169,NA,9.56,16.5
1986,24.16901408,NA,9.39,NA
1987,22.96056338,NA,9.44,NA
1988,22.96056338,NA,10.13,18.4
1989,23.4,NA,9.48,NA
1990,23.7,NA,8,20.7
1991,24.9,7.3,7.97,NA
1992,24.1,NA,7.75,19.5
1993,24.3,NA,8.47,NA
1994,27.1,NA,10.75,NA
1995,24.4,7.3,11.54,NA
1996,25.3,8.5,10.5,NA
1997,27.7,8.5,11.37,20.3
1998,26.3,8.3,11.51,NA
1999,28.1,8.4,11.67,19.29
2000,31.3,9.3,10.09,21.41
2001,28.2,9.3,8.77,20.69
2002,28,9.7,9.14,21.16
2003,27.6,8.9,10.47,20.75
2004,28.1,9.3,11.1,20.79
2005,29.6,10.1,11.62,21.05
2006,31.1,10.2,12.74,21.5
2007,33.2,12.2,12.24,19.16
2008,31.4,13.2,11.21,17.93
2009,32,13.4,9.68,21.69
2010,32.5,14.1,10.94,20.9
2011,32.6,14.4,10.38,20.79
2012,32,13.8,9.76,21.48
2013,33,14.1,9.77,NA
2014,34.23890785,14.4,9.89,NA
2015,35.70307167,14.4,10.39,NA
2016,36.04095563,14.8,9.08,NA
2017,36.2662116,14.4,9.84,NA
2018,35.02730375,14.9,9.4,NA
2019,35.25255973,14.6,9.54,NA
